nombre_espacio,id_espacio,sede,nombre_corto,ano_inauguracion,id_img_espacios,,,,
Casa Obeso Mejía,1,Casa Obeso Mejía,COM,,,,,,
Casona San Antonio,2,Casona San Antonio,CSA,,,,,,
Cinemateca,3,Charco del Burro,C,,,,,,
CP,4,Charco del Burro,CP,,,,,,
Edificio de la Colección,5,Charco del Burro,EC,,,,,,
Galería de Bellas Artes,6,Charco del Burro,GBA,,,,,,
Galería-Taller,7,Charco del Burro,GT,,,,,,
Jardines del Museo,8,Charco del Burro,JM,,,,,,
Museo de Arte Moderno La Tertulia,9,Charco del Burro,MLT,,,,,,
Nuevas Salas,10,Charco del Burro,NS,,,,,,
Sala Alterna,11,Charco del Burro,SA,,,,,,
Sala de Exposiciones Rotatorias,12,Charco del Burro,SR,,,,,,
Sala de la Colección-Maritza Uribe de Urdinola,13,Charco del Burro,MUU,,,,,,
Sala de Proyectos,14,Charco del Burro,SP,,,,,,
Sala Subterránea,15,Charco del Burro,SS,,,,,,
Sala Taller,16,Charco del Burro,ST,,,,,,
Sala única,17,Charco del Burro,SU,,,,,,
Taller-escuela,18,Charco del Burro,TE,,,,,,
Todas las salas,19,Charco del Burro,TS,,,,,,
Todo el Museo,20,Charco del Burro,MLT,,,,,,
Vitrina,21,Charco del Burro,V,,,,,,
Cámara de Comercio de Cali,22,externo,CCC,,,,,,
Espacio Temporal,23,externo,ET,,,,,,
Galería Arte Moderno,24,externo,GAM,,,,,,
Museo La Merced,25,externo,MLM,,,,,,
Proartes,26,externo,PA,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 