id_expo,id_presentador,nombre_expo,nombre_presentador,ano
ex.4,p.1334,Obras de Alejandro Obregón*1956,Julio Abril,1956
ex.6,p.3253,Exposición de Lucy Tejada 1956*1956,Jaime Soto,1956
ex.7,p.3254,Temas de Boca-Grande*1956,Alfonso Bonilla Aragón,1956
ex.8,p.3255,Óleos y témperas de Alejandro Obregón*1956,Emma Alder de Gamboa,1956
ex.9,p.3256,Exposición de caricatura*1956,José Gers,1956
ex.10,p.3257,Yesid Montaña*1956,Octavio Gamboa,1956
ex.11,p.569,Acuarelas de Hernando Tejada y María Teresa de Patiño*1956,Enrique Buenaventura,1956
ex.12,p.3259,Jorge Elías Triana*1956,Gustavo Camargo,1956
ex.13,p.3260,Carlos Correa*1957,Néstor Sanclemente,1957
ex.14,p.3261,Pintura al Óleo del artista español José María Vidal*1957,José María Capdevila,1957
ex.15,p.3262,Exposición de vitrales de Mona Mondineu*1957,Óscar Gerardo Ramos,1957
ex.16,p.3263,Jornadas de Mayo*1957,Carlos Garcés Córdoba,1957
ex.17,p.3263,Exposición de Mireya Zawadzky*1957,Carlos Garcés Córdoba,1957
ex.18,p.3264,Pintura abstracta de Carlos Rojas*1957,José María Vivas Balcázar,1957
ex.19,p.3265,Pinturas de Ómar Rayo*1957,Alba Inés Vivas,1957
ex.20,p.3266,Acuarelas de Dicken Castro y cerámica Lucy Tejada*1957,Lucy Morales,1957
ex.21,p.1094,José de Rokha*1958,Mireya Zawadzki,1958
ex.22,p.3264,Exposición de fotografía vallecaucana*1958,José María Vivas Balcázar,1958
ex.24,p.3262,José Luis de Figueroa*1958,Óscar Gerardo Ramos,1958
ex.25,p.569,Aníbal Gil*1958,Enrique Buenaventura,1958
ex.28,p.3268,Carlos Ruiz *1958,Nicolás Buenaventura,1958
ex.30,p.3269,Exposición de carteles comerciales*1958,Jaime Correa,1958
ex.31,p.3270,Lucy Tejada y María Thereza Negreiros*1958,Álvaro Navia Monedero,1958
ex.34,p.3271,Exposición de libros y caricaturas españolas*1959,Manuel M. Bendaño,1959
ex.49,p.3272,Elio Berhanyer*1960,Sacerdote Sendoya,1960
ex.50,p.3273,Exposición Colectiva de Pintura*1960,Libardo Lozano G.,1960
ex.51,p.3260,Óleos*1961,Néstor Sanclemente,1961
ex.60,p.3274,Exposición de dibujo de los alienados de San Isidro*1961,Dr. Carlos León,1961
ex.146,p.3275,Eduardo McEntyre*1969,Juan Mathé,1969
ex.251,p.3276,Los Caminos del Bien y del Mal*1982,Darío Ruíz Gómez,1982
ex.256,p.3277,Yutaka Toyota*1982,Oscar Niemeyer,1982
ex.551,p.3278,Las Estrellas en el Trópico*1998,Juan Carlos Botero,1998