nombre_presentadores,id_presentadores,id_persona
Julio Abril,1,1334
Jaime Soto,2,3253
Alfonso Bonilla Aragón,3,3254
Emma Alder de Gamboa,4,3255
José Gers,5,3256
Octavio Gamboa,6,3257
Enrique Buenaventura,7,569
Gustavo Camargo,8,3259
Néstor Sanclemente,9,3260
José María Capdevila,10,3261
Óscar Gerardo Ramos,11,3262
Carlos Garcés Córdoba,12,3263
José María Vivas Balcázar,13,3264
Alba Inés Vivas,14,3265
Lucy Morales,15,3266
Mireya Zawadzki,16,1094
Nicolás Buenaventura,17,3268
Jaime Correa,18,3269
Álvaro Navia Monedero,19,3270
Manuel M. Bendaño,20,3271
Sacerdote Sendoya,21,3272
Libardo Lozano G.,22,3273
Dr. Carlos León,23,3274
Juan Mathé,24,3275
Darío Ruíz Gómez,25,3276
Oscar Niemeyer,26,3277
Juan Carlos Botero,27,3278